,time,cpu_avg,power_all,power_cpu,power_gpu,%CPU,%mem
300,18:20:00,0.01504,3.25626,3.25626,0.0,7.0,7.0
301,18:20:01,0.0175,3.23671,3.23671,0.0,7.0,7.0
302,18:20:02,0.03509,3.12962,3.12962,0.0,7.0,7.0
303,18:20:03,0.015,3.25657,3.25657,0.0,7.0,7.0
304,18:20:04,0.015,3.25657,3.25657,0.0,7.0,7.0
305,18:20:05,0.01759,3.23603,3.23603,0.0,7.0,7.0
306,18:20:06,0.015,3.25657,3.25657,0.0,7.0,7.0
307,18:20:07,0.025,3.18448,3.18448,0.0,7.0,7.0
308,18:20:08,0.0425,3.09891,3.09891,0.0,7.0,7.0
309,18:20:09,0.01253,3.27748,3.27748,0.0,7.0,7.0
311,18:20:11,0.0225,3.20072,3.20072,0.0,7.0,7.0
312,18:20:12,0.01253,3.27748,3.27748,0.0,7.0,7.0
313,18:20:13,0.0325,3.14216,3.14216,0.0,7.0,7.0
314,18:20:14,0.01754,3.23637,3.23637,0.0,7.0,7.0
315,18:20:15,0.01508,3.25595,3.25595,0.0,7.0,7.0
316,18:20:16,0.01253,3.27748,3.27748,0.0,7.0,7.0
317,18:20:17,0.01253,3.27748,3.27748,0.0,7.0,7.0
318,18:20:18,0.00748,3.32452,3.32452,0.0,7.0,7.0
319,18:20:19,0.02506,3.18408,3.18408,0.0,7.0,7.0
320,18:20:20,0.0225,3.20072,3.20072,0.0,7.0,7.0
321,18:20:21,0.01005,3.29985,3.29985,0.0,7.0,7.0
322,18:20:22,0.015,3.25657,3.25657,0.0,7.0,7.0
323,18:20:23,0.02005,3.21775,3.21775,0.0,7.0,7.0
324,18:20:24,0.0225,3.20072,3.20072,0.0,7.0,7.0
325,18:20:25,0.015,3.25657,3.25657,0.0,7.0,7.0
326,18:20:26,0.02005,3.21775,3.21775,0.0,7.0,7.0
327,18:20:27,0.0125,3.27776,3.27776,0.0,7.0,7.0
328,18:20:28,0.01253,3.27748,3.27748,0.0,7.0,7.0
330,18:20:30,0.01005,3.29985,3.29985,0.0,7.0,7.0
331,18:20:31,0.01253,3.27748,3.27748,0.0,7.0,7.0
332,18:20:32,0.0225,3.20072,3.20072,0.0,7.0,7.0
333,18:20:33,0.01253,3.27748,3.27748,0.0,7.0,7.0
334,18:20:34,0.025,3.18448,3.18448,0.0,12.0,7.0
335,18:20:35,0.01754,3.23637,3.23637,0.0,7.0,7.0
336,18:20:36,0.015,3.25657,3.25657,0.0,7.0,7.0
337,18:20:37,0.0,3.40568,3.40568,0.0,7.0,7.0
338,18:20:38,0.02,3.21811,3.21811,0.0,7.0,7.0
339,18:20:39,0.01253,3.27748,3.27748,0.0,7.0,7.0
340,18:20:40,0.02757,3.16894,3.16894,0.0,7.0,7.0
341,18:20:41,0.02244,3.2011,3.2011,0.0,7.0,7.0
342,18:20:42,0.01253,3.27748,3.27748,0.0,7.0,7.0
343,18:20:43,0.015,3.25657,3.25657,0.0,7.0,7.0
344,18:20:44,0.01759,3.23603,3.23603,0.0,7.0,7.0
345,18:20:45,0.03008,3.15484,3.15484,0.0,7.0,7.0
346,18:20:46,0.015,3.25657,3.25657,0.0,7.0,7.0
347,18:20:47,0.01754,3.23637,3.23637,0.0,7.0,7.0
349,18:20:49,0.01253,3.27748,3.27748,0.0,7.0,7.0
350,18:20:50,0.03266,3.14134,3.14134,0.0,7.0,7.0
351,18:20:51,0.015,3.25657,3.25657,0.0,7.0,7.0
352,18:20:52,0.0125,3.27776,3.27776,0.0,7.0,7.0
353,18:20:53,0.02005,3.21775,3.21775,0.0,7.0,7.0
354,18:20:54,0.01496,3.25688,3.25688,0.0,7.0,7.0
355,18:20:55,0.01504,3.25626,3.25626,0.0,7.0,7.0
356,18:20:56,0.0275,3.16934,3.16934,0.0,7.0,7.0
357,18:20:57,0.02256,3.20034,3.20034,0.0,7.0,7.0
358,18:20:58,0.01253,3.27748,3.27748,0.0,7.0,7.0
359,18:20:59,0.02,3.21811,3.21811,0.0,7.0,7.0
360,18:21:00,0.01253,3.27748,3.27748,0.0,7.0,7.0
361,18:21:01,0.0175,3.23671,3.23671,0.0,7.0,7.0
362,18:21:02,0.0475,3.08216,3.08216,0.0,7.0,7.0
363,18:21:03,0.01253,3.27748,3.27748,0.0,7.0,7.0
364,18:21:04,0.01253,3.27748,3.27748,0.0,7.0,7.0
365,18:21:05,0.01754,3.23637,3.23637,0.0,7.0,7.0
366,18:21:06,0.015,3.25657,3.25657,0.0,7.0,7.0
368,18:21:08,0.02005,3.21775,3.21775,0.0,7.0,7.0
369,18:21:09,0.01253,3.27748,3.27748,0.0,7.0,7.0
370,18:21:10,0.0125,3.27776,3.27776,0.0,7.0,7.0
371,18:21:11,0.02005,3.21775,3.21775,0.0,8.0,7.0
372,18:21:12,0.025,3.18448,3.18448,0.0,7.0,7.0
373,18:21:13,0.01253,3.27748,3.27748,0.0,7.0,7.0
374,18:21:14,0.005,3.34985,3.34985,0.0,7.0,7.0
375,18:21:15,0.01504,3.25626,3.25626,0.0,7.0,7.0
376,18:21:16,0.01005,3.29985,3.29985,0.0,7.0,7.0
377,18:21:17,0.02494,3.18487,3.18487,0.0,7.0,7.0
378,18:21:18,0.025,3.18448,3.18448,0.0,7.0,7.0
379,18:21:19,0.02764,3.16853,3.16853,0.0,7.0,7.0
380,18:21:20,0.0225,3.20072,3.20072,0.0,7.0,7.0
381,18:21:21,0.0125,3.27776,3.27776,0.0,7.0,7.0
382,18:21:22,0.015,3.25657,3.25657,0.0,7.0,7.0
383,18:21:23,0.02244,3.2011,3.2011,0.0,7.0,7.0
384,18:21:24,0.02519,3.1833,3.1833,0.0,7.0,7.0
386,18:21:26,0.02494,3.18487,3.18487,0.0,7.0,7.0
387,18:21:27,0.01003,3.30009,3.30009,0.0,7.0,7.0
388,18:21:28,0.015,3.25657,3.25657,0.0,7.0,7.0
389,18:21:29,0.01759,3.23603,3.23603,0.0,9.0,7.0
390,18:21:30,0.03,3.15525,3.15525,0.0,7.0,7.0
391,18:21:31,0.015,3.25657,3.25657,0.0,7.0,7.0
392,18:21:32,0.00501,3.34972,3.34972,0.0,7.0,7.0
393,18:21:33,0.01496,3.25688,3.25688,0.0,7.0,7.0
394,18:21:34,0.01253,3.27748,3.27748,0.0,7.0,7.0
395,18:21:35,0.01759,3.23603,3.23603,0.0,7.0,7.0
396,18:21:36,0.03,3.15525,3.15525,0.0,7.0,7.0
397,18:21:37,0.01253,3.27748,3.27748,0.0,7.0,7.0
398,18:21:38,0.02244,3.2011,3.2011,0.0,7.0,7.0
399,18:21:39,0.01253,3.27748,3.27748,0.0,7.0,7.0
400,18:21:40,0.015,3.25657,3.25657,0.0,7.0,7.0
401,18:21:41,0.03266,3.14134,3.14134,0.0,7.0,7.0
402,18:21:42,0.01253,3.27748,3.27748,0.0,7.0,7.0
404,18:21:44,0.02005,3.21775,3.21775,0.0,7.0,7.0
405,18:21:45,0.015,3.25657,3.25657,0.0,7.0,7.0
406,18:21:46,0.02506,3.18408,3.18408,0.0,7.0,7.0
407,18:21:47,0.01759,3.23603,3.23603,0.0,7.0,7.0
408,18:21:48,0.01496,3.25688,3.25688,0.0,7.0,7.0
409,18:21:49,0.015,3.25657,3.25657,0.0,7.0,7.0
410,18:21:50,0.01759,3.23603,3.23603,0.0,7.0,7.0
411,18:21:51,0.01,3.30032,3.30032,0.0,7.0,7.0
412,18:21:52,0.0225,3.20072,3.20072,0.0,7.0,7.0
413,18:21:53,0.01754,3.23637,3.23637,0.0,7.0,7.0
414,18:21:54,0.01253,3.27748,3.27748,0.0,7.0,7.0
415,18:21:55,0.01005,3.29985,3.29985,0.0,7.0,7.0
416,18:21:56,0.0225,3.20072,3.20072,0.0,7.0,7.0
417,18:21:57,0.03,3.15525,3.15525,0.0,7.0,7.0
418,18:21:58,0.01005,3.29985,3.29985,0.0,7.0,7.0
419,18:21:59,0.02,3.21811,3.21811,0.0,7.0,7.0
