
2023-07-06 12:06:55 python3.10 04_nn.py is not running
2023-07-06 12:06:56 python3.10 04_nn.py is not running
2023-07-06 12:06:57 python3.10 04_nn.py is not running
2023-07-06 12:06:58 python3.10 04_nn.py is not running
2023-07-06 12:06:59 python3.10 04_nn.py is not running
2023-07-06 12:07:00 python3.10 04_nn.py is not running
2023-07-06 12:07:01 python3.10 04_nn.py is not running
2023-07-06 12:07:02 python3.10 04_nn.py is not running
2023-07-06 12:07:03 python3.10 04_nn.py is not running
2023-07-06 12:07:04 python3.10 04_nn.py is not running
2023-07-06 12:07:05 python3.10 04_nn.py is not running
2023-07-06 12:07:06 python3.10 04_nn.py is not running
2023-07-06 12:07:08 python3.10 04_nn.py is not running
2023-07-06 12:11:25   24731    1961 84.6 37.2 python3.10 04_nn.py
2023-07-06 12:11:26   24731    1961 83.8 37.2 python3.10 04_nn.py
2023-07-06 12:11:27   24731    1961 83.0 37.2 python3.10 04_nn.py
2023-07-06 12:11:28   24731    1961 83.1 37.2 python3.10 04_nn.py
2023-07-06 12:11:29   24731    1961 82.5 44.5 python3.10 04_nn.py
2023-07-06 12:11:30   24731    1961 81.9 45.7 python3.10 04_nn.py
2023-07-06 12:11:31   24731    1961 81.3 46.9 python3.10 04_nn.py
2023-07-06 12:11:32   24731    1961 80.7 48.1 python3.10 04_nn.py
2023-07-06 12:11:34   24731    1961 80.9 38.8 python3.10 04_nn.py
2023-07-06 12:11:35   24731    1961 81.2 45.6 python3.10 04_nn.py
2023-07-06 12:11:36   24731    1961 81.4 55.6 python3.10 04_nn.py
2023-07-06 12:11:37   24731    1961 81.7 50.3 python3.10 04_nn.py
2023-07-06 12:11:38   24731    1961 82.5 50.4 python3.10 04_nn.py
2023-07-06 12:11:39   24731    1961 83.2 50.4 python3.10 04_nn.py
2023-07-06 12:11:40   24731    1961 84.0 50.4 python3.10 04_nn.py
2023-07-06 12:11:41   24731    1961 84.7 50.4 python3.10 04_nn.py
2023-07-06 12:11:42   24731    1961 85.4 50.4 python3.10 04_nn.py
2023-07-06 12:11:43   24731    1961 85.5 50.4 python3.10 04_nn.py
2023-07-06 12:11:44   24731    1961 86.2 50.4 python3.10 04_nn.py
2023-07-06 12:11:45   24731    1961 86.9 50.4 python3.10 04_nn.py
2023-07-06 12:11:46   24731    1961 87.6 50.4 python3.10 04_nn.py
2023-07-06 12:11:48   24731    1961 88.2 50.4 python3.10 04_nn.py
2023-07-06 12:11:49   24731    1961 88.9 50.4 python3.10 04_nn.py
2023-07-06 12:11:50   24731    1961 89.5 50.4 python3.10 04_nn.py
2023-07-06 12:11:51   24731    1961 90.2 50.4 python3.10 04_nn.py
2023-07-06 12:11:52   24731    1961 90.8 50.4 python3.10 04_nn.py
2023-07-06 12:11:53   24731    1961 91.5 50.4 python3.10 04_nn.py
2023-07-06 12:11:54   24731    1961 92.1 50.4 python3.10 04_nn.py
2023-07-06 12:11:55   24731    1961 92.7 50.4 python3.10 04_nn.py
2023-07-06 12:11:56   24731    1961 92.5 50.4 python3.10 04_nn.py
2023-07-06 12:11:57   24731    1961 92.6 50.4 python3.10 04_nn.py
2023-07-06 12:11:58   24731    1961 92.7 50.4 python3.10 04_nn.py
2023-07-06 12:11:59   24731    1961 92.0 50.4 python3.10 04_nn.py
2023-07-06 12:12:01   24731    1961 91.4 50.4 python3.10 04_nn.py
2023-07-06 12:12:02   24731    1961 90.7 50.4 python3.10 04_nn.py
2023-07-06 12:12:03   24731    1961 90.1 50.4 python3.10 04_nn.py
2023-07-06 12:12:04   24731    1961 89.5 50.4 python3.10 04_nn.py
2023-07-06 12:12:05   24731    1961 88.9 50.4 python3.10 04_nn.py
2023-07-06 12:12:06   24731    1961 88.3 50.4 python3.10 04_nn.py
2023-07-06 12:12:07   24731    1961 87.7 50.4 python3.10 04_nn.py
2023-07-06 12:12:08   24731    1961 87.1 50.4 python3.10 04_nn.py
2023-07-06 12:12:09   24731    1961 87.0 11.5 python3.10 04_nn.py
2023-07-06 12:12:10 python3.10 04_nn.py is not running
2023-07-06 12:12:11 python3.10 04_nn.py is not running
2023-07-06 12:12:12 python3.10 04_nn.py is not running
2023-07-06 12:12:13 python3.10 04_nn.py is not running
2023-07-06 12:12:14 python3.10 04_nn.py is not running
